1965,2300,3
1969,2274,3
1876,2024,3
2040,2273,3
2027,2286,3
1725,2193,1
1701,2270,1
1605,1982,5
2340,2565,4
1779,2300,1
1945,2457,2
1944,2491,2
1671,2335,1
2228,2374,4
2010,2353,3
1766,2254,1
2050,2490,4
1665,2068,5
1728,2200,1
1946,2472,2
2037,2438,4
1894,2243,3
2247,2428,4
1816,2238,3
1673,2493,6
2204,2494,4
2136,2449,4
2041,2172,3
2053,2113,3
1660,2518,6
1962,2465,2
1539,2465,6
1705,2384,1
2366,2641,4
1684,2370,1
2299,2439,4
2197,2412,4
1687,2488,6
1466,2452,6
1927,2232,3
1692,2296,5
1651,2579,6
2108,2554,4
1977,2478,2
1884,2416,2
1929,2527,2
1696,2536,6
1864,2253,3
1730,2418,6
1823,2594,6
1684,2041,5
1586,2279,1
1724,2410,6
1607,2629,6
1652,2207,1
2005,2475,4
1994,2162,3
2248,2653,4
2291,2444,4
2128,2504,4
1972,2510,2
1653,2322,1
1650,2202,5
1644,2661,6
2057,2512,2
1910,2352,2
1937,2424,3
2176,2347,3
1716,2486,6
1949,2475,2
2035,2118,3
2395,2586,4
2286,2434,4
2092,2277,3
1790,2023,5
1665,2288,1
2019,2514,2
1982,2149,3
1686,2081,5
1972,2541,2
1713,2345,1
1686,2435,6
1701,2267,1
2138,2440,4
2005,2437,2
2214,2602,4
2284,2401,4
1654,2309,1
2171,2386,3
2040,2088,3
2005,2462,2
1692,2301,1
1665,2254,1
2177,2519,4
1771,2216,1
2028,2522,2
1750,2574,6
1650,2492,6
1745,2527,6
1939,2475,2
1959,2486,2
1912,2525,2
2108,2328,3
2282,2527,4
1975,2153,3
1581,2204,5
2063,2570,4
2100,2378,4
1766,2249,1
1548,2140,5
2401,2574,4
1880,2445,2
2062,2316,3
1765,2678,6
1907,2161,3
1964,2390,3
2076,2447,4
2150,2522,4
1703,2241,1
2145,2347,4
1668,2164,5
1715,2555,6
1707,2194,5
1724,2298,1
2000,2495,2
1869,2437,3
2297,2544,4
1757,2231,1
1933,2091,3
1900,2425,2
1695,2533,6
1851,2479,6
1771,2175,5
2132,2526,4
1596,2286,1
1714,2431,6
1620,2406,6
1715,2569,6
1583,2292,1
1625,2011,5
1705,2351,1
1567,2368,6
2279,2515,4
1654,2595,6
1988,2464,3
2163,2736,4
1712,2138,5
2017,2488,2
2310,2492,4
1513,2257,5
2234,2457,4
2067,2195,3
2047,2558,4
1708,2719,6
1688,2510,6
1568,2273,5
1580,2103,5
1715,2444,6
1800,2407,1
1697,2197,1
1610,2143,5
2087,2442,4
1646,2205,1
2222,2519,4
2271,2301,4
1975,2493,2
1941,2479,2
1910,2428,2
2153,2511,4
1788,2188,1
1678,2290,5
1716,2564,6
1670,1942,5
1897,2487,2
1875,2289,3
2210,2477,4
2020,2065,3
2060,2466,4
1579,2002,5
1875,2451,2
1911,2492,2
1658,2011,5
1760,2074,5
1629,2236,1
2265,2567,4
1716,2275,1
2173,2579,4
1969,2546,2
1593,2100,5
1570,2218,1
1724,2547,6
1998,2349,3
1786,2215,1
