dataset,samples,dimensions,outliers,clusters GT,clusters HDBSCAN,clusters kmeans--,clusters SDOclust,Sil HDBSCAN,Sil kmeans--,Sil SDOclust,Rand HDBSCAN,Rand kmeans--,Rand SDOclust
c1,5000,4,0,13,=,=,=,0.75,0.49,0.78,1.0,0.77,1.0
c2,5000,16,0,10,=,=,=,0.86,0.46,0.86,1.0,0.67,1.0
c3,5000,16,0,10,=,-9,=,0.84,nan,0.84,1.0,0.0,1.0
c4,5000,5,0,13,=,=,=,0.79,0.61,0.79,1.0,0.81,1.0
c5,5000,17,0,13,=,=,=,0.87,0.77,0.87,1.0,0.97,1.0
c6,5000,13,0,12,=,=,=,0.84,0.5,0.84,1.0,0.78,1.0
c7,5000,23,0,10,=,=,=,0.84,0.42,0.84,1.0,0.76,1.0
c8,5000,17,0,14,=,=,=,0.87,0.51,0.87,1.0,0.72,1.0
c9,5000,20,0,14,=,-13,=,0.86,nan,0.86,1.0,0.0,1.0
c10,5000,20,0,11,=,=,=,0.84,0.48,0.84,1.0,0.69,1.0
c11,5000,22,0,14,=,-13,=,0.88,nan,0.88,1.0,0.0,1.0
c12,5000,23,0,11,=,=,=,0.83,0.55,0.83,1.0,0.82,1.0
c13,5000,20,0,14,=,=,=,0.87,0.52,0.87,1.0,0.76,1.0
c14,5000,15,0,10,=,=,=,0.84,0.39,0.84,1.0,0.66,1.0
c15,5000,11,0,12,=,=,=,0.8,0.34,0.8,1.0,0.61,1.0
c16,5000,4,0,12,=,=,=,0.7,0.51,0.72,1.0,0.8,1.0
c17,5000,3,0,14,-1,=,-2,0.81,0.69,0.81,0.99,0.92,0.98
c18,5000,23,0,13,=,=,=,0.87,0.56,0.87,1.0,0.77,1.0
c19,5000,3,0,12,=,=,=,0.72,0.59,0.73,1.0,0.85,1.0
c20,5000,10,0,11,=,=,=,0.82,0.52,0.82,1.0,0.74,1.0
d3,2026,3,0,9,=,=,=,0.95,0.95,0.95,1.0,1.0,1.0
d4,2701,4,0,9,=,=,=,0.95,0.45,0.95,1.0,0.44,1.0
d5,3376,5,0,9,=,=,=,0.92,0.68,0.92,1.0,0.75,1.0
d6,4051,6,0,9,=,=,=,0.93,0.69,0.93,1.0,0.85,1.0
d7,4726,7,0,9,=,=,=,0.9,0.51,0.9,1.0,0.64,1.0
d8,5401,8,0,9,=,=,=,0.93,0.17,0.93,1.0,0.43,1.0
d9,6076,9,0,9,=,=,=,0.92,0.77,0.92,1.0,0.85,1.0
d10,6751,10,0,9,=,=,=,0.92,0.74,0.92,1.0,0.85,1.0
d11,7426,11,0,9,=,=,=,0.93,0.74,0.93,1.0,0.85,1.0
d12,8101,12,0,9,=,=,=,0.92,0.55,0.91,1.0,0.73,1.0
d13,8776,13,0,9,=,=,=,0.92,0.58,0.92,1.0,0.75,1.0
d14,9451,14,0,9,=,=,=,0.92,0.75,0.92,1.0,0.86,1.0
d15,10126,15,0,9,=,=,=,0.91,0.54,0.91,1.0,0.73,1.0
d32,1024,32,0,16,=,=,=,0.94,0.67,0.94,1.0,0.81,1.0
d64,1024,64,0,16,=,=,=,0.97,0.62,0.97,1.0,0.73,1.0
dc,1024,256,0,16,=,=,=,0.98,0.67,0.98,1.0,0.82,1.0
dq,1024,512,0,16,=,=,=,0.99,0.85,0.99,1.0,0.94,1.0
dk,1024,1024,0,16,=,=,=,0.99,0.66,0.99,1.0,0.82,1.0
f1,5000,5,0,6,+1,=,=,0.63,0.59,0.69,0.96,0.84,0.98
f2,5000,22,0,5,=,=,=,0.82,0.82,0.82,0.99,1.0,1.0
f3,5000,16,0,7,=,=,=,0.73,0.74,0.74,0.96,0.98,0.98
f4,5000,6,0,3,=,=,+2,0.88,0.88,0.73,1.0,1.0,0.91
f5,5000,11,0,6,=,=,+1,0.76,0.59,0.66,1.0,0.86,0.96
f6,5000,20,0,6,=,=,=,0.85,0.64,0.85,1.0,0.9,1.0
f7,5000,16,0,4,=,=,=,0.65,0.42,0.65,0.95,0.67,0.99
f8,5000,6,0,5,=,=,=,0.72,0.77,0.77,0.95,0.97,0.97
f9,5000,6,0,5,=,=,+2,0.79,0.64,0.58,1.0,0.86,0.95
f10,5000,8,0,5,=,=,=,0.57,0.5,0.59,0.8,0.81,0.95
f11,5000,4,0,5,+6,=,+2,0.06,0.48,0.62,0.64,0.82,0.9
